Date,failure_prob,topicid10_Power_preprocessed_Trend,topicid10_Voltage_preprocessed_Trend,topicid10_Current_preprocessed_Trend
03/02/2025,1,0,0.2639133880425448,0
03/02/2025,1,0,0.9867690912377647,0
03/02/2025,1,0,1.0420836306570251,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.71389082955313,0
03/02/2025,1,0,1.4988118820072678,0
03/02/2025,1,0,0.94302376987511,0
03/02/2025,1,0,0.0020811631206982817,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.8612240541925322,0
03/02/2025,1,0,0.1833671049043022,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.536734865299044,0
03/02/2025,1,0,0.7334101475296926,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.9492183175655264,0
03/02/2025,1,0,0.778870044500694,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.912871327408549,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.46819024219869476,0
03/02/2025,1,0,0.8423828775349773,0
03/02/2025,1,0,1.0535482362282382,0
03/02/2025,1,0,0.4346471133260099,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.2619291928879448,0
03/02/2025,1,0,0.5264621398951679,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.3377783060187696,0
03/02/2025,1,0,1.16203128639363,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.1784481686383343,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.6362415398857977,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.502178520455983,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.5710183310956505,0
03/02/2025,1,0,0.12667656140652905,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.0895213722286341,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.5400072076634617,0
03/02/2025,1,0,2.71389082955313,0
03/02/2025,1,0,0.0895213722286341,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.092532107497803,0
03/02/2025,1,0,1.00693414170951,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.031136216340065914,0
03/02/2025,1,0,1.2302090049204142,0
03/02/2025,1,0,0.726201786608363,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.19762489107513,0
03/02/2025,1,0,0.2639133880425448,0
03/02/2025,1,0,1.023844589157138,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.726201786608363,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.1833671049043022,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.7815851628881125,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.6054039535766993,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.7128696591257109,0
03/02/2025,1,0,2.732586921838336,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.9867690912377647,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.0535482362282382,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.0765729163179962,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.865946522448357,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.0420836306570251,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.536734865299044,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.2931786873561961,0
03/02/2025,1,0,1.5813654383844642,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.3768441600700747,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.186767383380095,0
03/02/2025,1,0,0.8423828775349773,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.0535482362282382,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.5813654383844642,0
03/02/2025,1,0,0.9867690912377647,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.8423828775349773,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.4374601404869585,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.0535482362282382,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.1784481686383343,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.3768441600700747,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.092532107497803,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.5710183310956505,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.19762489107513,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.186767383380095,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.7815851628881125,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.7128696591257109,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.4346471133260099,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.94302376987511,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.1833671049043022,0
03/02/2025,1,0,1.912871327408549,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.71389082955313,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.6054039535766993,0
03/02/2025,1,0,1.023844589157138,0
03/02/2025,1,0,1.5813654383844642,0
03/02/2025,1,0,1.16203128639363,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.71389082955313,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.0535482362282382,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.0420836306570251,0
03/02/2025,1,0,0.5710183310956505,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.46819024219869476,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.9492183175655264,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.4346471133260099,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,0.0020811631206982817,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,2.502178520455983,0
03/02/2025,1,0,0.5264621398951679,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.16203128639363,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.023844589157138,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.7815851628881125,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,1.3377783060187696,0
03/02/2025,1,0,0.778870044500694,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
