Date,failure_prob,topicid12_Power_preprocessed_Trend,topicid12_Voltage_preprocessed_Trend,topicid12_Current_preprocessed_Trend
03/02/2025,1,0,-2.909967954629071,-0.009629982532373701
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.198645632280055,-0.006995630571397309
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.098077180855213,-0.00015408135584875013
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.41589110833929,-0.005053066910389238
03/02/2025,1,0,-1.3583641202751657,-0.009208727585187997
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.461557640572607,-0.007529144180389875
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.7245989222056508,-0.007067440546771021
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.492457520676548,-0.01019282276657687
03/02/2025,1,0,-2.909967954629071,-0.009629982532373701
03/02/2025,1,0,-6.216328649881197,-0.004451141945331484
03/02/2025,1,0,-3.6219354660382344,-0.002274768654554041
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.058704326494796,-0.004696371745912987
03/02/2025,1,0,-1.4749243333252249,-0.010236274168298084
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.810131247691016,-0.0009332054346164343
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.053447756875004,-0.0016071606969379846
03/02/2025,1,0,-3.483910126581648,-0.007000554991529142
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.773460757642212,-0.0004907294397298433
03/02/2025,1,0,-1.3252559401075636,-0.004713260513368822
03/02/2025,1,0,-8.498900939701773,-0.001510734129655968
03/02/2025,1,0,-7.846919795874149,-0.00038096315653820927
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.930573993582059,-0.0068355091815188885
03/02/2025,1,0,-2.909967954629071,-0.009629982532373701
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.417198810310541,-0.009824248786425911
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.853009026282864,-0.006198358257809679
03/02/2025,1,0,-0.4743053964174422,-0.005331530923930771
03/02/2025,1,0,-6.472955745129866,-0.007335535756897792
03/02/2025,1,0,-1.5479521829739866,-0.006070636250997037
03/02/2025,1,0,-6.058704326494796,-0.004696371745912987
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.575976033373307,-0.0056484593722418396
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.4615955309801762,-0.00732142997870186
03/02/2025,1,0,-14.590065501397735,-0.0004783136728195008
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.897959465299726,-0.00440324321136492
03/02/2025,1,0,-4.166306663344194,-0.00559540930528457
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.482549162988654,-0.010425326511889764
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.269916027343699,-0.008118820038580983
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.3252559401075636,-0.004713260513368822
03/02/2025,1,0,-14.517298914957026,-0.0043886454518702106
03/02/2025,1,0,-6.058704326494796,-0.004696371745912987
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.62526577318183,-0.010319306791797123
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.269916027343699,-0.008118820038580983
03/02/2025,0,0,0,0
03/02/2025,1,0,-13.0113703945529,-0.007990440759323881
03/02/2025,1,0,-8.517848736924034,-0.007093402681076464
03/02/2025,1,0,-0.7593166551094139,-0.005713741391563782
03/02/2025,1,0,-5.098077180855213,-0.00015408135584875013
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-12.727912728010006,-0.010975091190547374
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-13.461771628418727,-0.010489360817910132
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.470711405868226,-0.00544570325058651
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.810131247691016,-0.0009332054346164343
03/02/2025,1,0,-6.490854372198591,-0.009830724219148719
03/02/2025,0,0,0,0
03/02/2025,1,0,-12.739494729956407,-0.005311702428954328
03/02/2025,1,0,-7.047762382843551,-0.0001401865166861041
03/02/2025,1,0,-9.575976033373307,-0.0056484593722418396
03/02/2025,1,0,-5.2050440414481205,-0.005424017502646685
03/02/2025,1,0,-9.50335114244746,-0.002655541573066123
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.166306663344194,-0.00559540930528457
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-14.590065501397735,-0.0004783136728195008
03/02/2025,1,0,-1.7245989222056508,-0.007067440546771021
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.461557640572607,-0.007529144180389875
03/02/2025,0,0,0,0
03/02/2025,1,0,-14.517298914957026,-0.0043886454518702106
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.408088621896598,-0.0014903866140482652
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.198645632280055,-0.006995630571397309
03/02/2025,1,0,-1.7245989222056508,-0.007067440546771021
03/02/2025,1,0,-3.6219354660382344,-0.002274768654554041
03/02/2025,1,0,-8.498900939701773,-0.001510734129655968
03/02/2025,1,0,-13.0113703945529,-0.007990440759323881
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.853009026282864,-0.006198358257809679
03/02/2025,1,0,-4.198645632280055,-0.006995630571397309
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-14.590065501397735,-0.0004783136728195008
03/02/2025,1,0,-5.417198810310541,-0.009824248786425911
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.930573993582059,-0.0068355091815188885
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.198645632280055,-0.006995630571397309
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.198645632280055,-0.006995630571397309
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.909967954629071,-0.009629982532373701
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.773460757642212,-0.0004907294397298433
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.575976033373307,-0.0056484593722418396
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.053447756875004,-0.0016071606969379846
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.4743053964174422,-0.005331530923930771
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.216328649881197,-0.004451141945331484
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.5479521829739866,-0.006070636250997037
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.2050440414481205,-0.005424017502646685
03/02/2025,1,0,-4.408088621896598,-0.0014903866140482652
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.41589110833929,-0.005053066910389238
03/02/2025,1,0,-13.0113703945529,-0.007990440759323881
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.3583641202751657,-0.009208727585187997
03/02/2025,1,0,-1.4749243333252249,-0.010236274168298084
03/02/2025,0,0,0,0
