Date,failure_prob,topicid16_Power_preprocessed_Trend,topicid16_Voltage_preprocessed_Trend,topicid16_Current_preprocessed_Trend
03/02/2025,1,0,-11.87185843879594,0
03/02/2025,1,0,-18.65602650619756,0
03/02/2025,1,0,-11.311105579621866,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.75245542297574,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-16.2570964896037,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.9781036157815421,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-16.761808939481803,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-18.958711583870123,0
03/02/2025,1,0,-16.030136502681987,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.674511725935803,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-12.11273106425285,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.081275893920015,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-13.189510956777694,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-13.065291559698245,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.1783030204750187,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.529660141163605,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-13.063428903359775,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-2.279804877704951,0
03/02/2025,1,0,-7.104298520745608,0
03/02/2025,1,0,-17.769344840037693,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-14.515997190963606,0
03/02/2025,1,0,-9.76963295085765,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.979651723850171,0
03/02/2025,1,0,-13.060362785481178,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.2784906854635878,0
03/02/2025,1,0,-1.2703567186082871,0
03/02/2025,1,0,-11.75245542297574,0
03/02/2025,1,0,-7.673344013572894,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-18.96375162634615,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.5943108085855897,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.315198859518897,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.5053411637346112,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.159909004580744,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.031766533365749,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.2703567186082871,0
03/02/2025,1,0,-11.979651723850171,0
03/02/2025,1,0,-0.7405381152236181,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.9530649846806174,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-14.160484426923402,0
03/02/2025,1,0,-14.08831658254256,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.5960875470145535,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-12.611853239656531,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-18.958711583870123,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.170644243761066,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.741187841824875,0
03/02/2025,1,0,-11.554331720420556,0
03/02/2025,1,0,-17.06104974791369,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.159909004580744,0
03/02/2025,1,0,-18.47754970476395,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.613694013895254,0
03/02/2025,1,0,-16.761808939481803,0
03/02/2025,1,0,-17.46634464259933,0
03/02/2025,1,0,-11.87185843879594,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.9781036157815421,0
03/02/2025,1,0,-18.96375162634615,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.780776458297233,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.170644243761066,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-4.741187841824875,0
03/02/2025,1,0,-14.515997190963606,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.979651723850171,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.9781036157815421,0
03/02/2025,1,0,-17.06104974791369,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.081275893920015,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.1783030204750187,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.75245542297574,0
03/02/2025,1,0,-18.47754970476395,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-0.2784906854635878,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.979651723850171,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.315198859518897,0
03/02/2025,1,0,-8.031766533365749,0
03/02/2025,1,0,-11.311105579621866,0
03/02/2025,1,0,-7.104298520745608,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.529660141163605,0
03/02/2025,1,0,-1.2703567186082871,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.673344013572894,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
